,בעלי זכות בחירה,מצביעים,העבודה,אור,מפד”ל,יהדות התורה,בל”ד,התנועה הירוקה מימד,חד”ש,גמלאים,ישראל חזקה,איחוד לאומי,הישראלים,לב,ניצולי השואה ובוגרי עלה ירוק,קדימה,ישראל ביתנו,ליכוד,מרצ,ישראל המתחדשת,אחריות,לזוז,לוחמי חברה מאוחדים,רע”מ,כח להשפיע,מהפך בחינוך,ברית עולם,זכויות הגבר במשפחה,צומת,צבר,דעם,עלה ירוק,כוח הכסף,לידר,הירוקים,ש”ס
הרדוף,270,202,27,0,0,0,1,74,12,0,0,0,0,0,0,35,4,2,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
הרצליה,74585,48046,7341,18,903,314,8,388,165,339,227,795,16,5,28,17589,3536,10786,2224,15,1,7,9,7,64,0,8,10,10,51,30,219,10,10,255,2170
הררית,210,145,12,0,0,1,0,45,1,1,0,0,0,0,1,51,3,13,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
ורד יריחו,161,109,5,0,3,2,0,3,0,0,0,6,0,0,0,27,18,38,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1
ורדון,184,124,20,0,3,1,0,0,0,0,0,1,0,0,0,31,10,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
זבדיאל,343,256,0,0,9,11,0,0,0,1,0,8,0,0,0,5,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
זוהר,284,197,6,0,2,0,0,0,0,1,0,2,0,0,0,40,18,59,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,64
זיקים,415,245,24,0,0,0,0,3,2,1,0,0,0,0,0,115,7,7,80,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
זיתן,687,543,50,0,7,2,0,1,0,2,1,17,0,0,0,67,36,236,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,113
זכרון יעקב,12218,8768,1352,1,197,486,12,198,33,14,22,125,2,0,3,3099,421,1592,444,2,2,0,0,1,5,0,0,2,4,16,4,53,2,0,33,584
זכריה,548,395,33,0,2,2,0,2,0,1,1,5,0,0,0,59,35,186,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,61
זמר,3342,1689,63,0,0,0,523,0,130,0,1,5,2,1,0,8,1,11,6,0,0,0,0,873,1,0,0,0,3,0,5,3,0,1,0,18
זמרת,228,179,3,0,1,7,0,0,0,0,0,6,0,0,0,0,3,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106
זנוח,306,186,10,0,7,3,0,1,0,0,0,3,0,0,0,9,14,85,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,47
זרועה,182,112,0,0,0,1,0,0,0,0,0,1,0,0,0,10,8,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
זרזיר,3686,1317,94,0,36,0,123,1,72,1,1,1,2,1,3,116,12,116,49,0,2,3,2,588,0,0,2,3,2,3,6,4,2,1,2,19
זרחיה,388,280,7,0,40,3,0,0,0,0,0,33,0,0,0,8,18,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
ח'ואלד,197,112,6,0,0,0,10,0,51,0,0,1,1,0,0,4,1,5,1,0,1,0,0,23,0,0,0,0,1,0,0,0,0,0,0,1
ח'ואלד (שבט),150,58,12,0,0,0,12,0,21,0,1,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1
חבצלת השרון,337,233,50,0,3,1,0,8,3,0,2,6,0,0,0,82,14,32,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,13
חבר,215,134,12,0,2,0,0,1,0,0,0,1,0,0,0,41,33,29,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8
חברון,272,219,1,0,5,2,0,0,0,0,0,179,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
חגור,566,426,58,0,5,0,0,8,2,1,3,5,0,0,0,219,28,75,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9
חגי,235,203,0,0,10,0,0,0,0,0,0,158,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
חגלה,391,327,115,0,2,0,0,19,1,1,2,4,0,0,0,109,9,25,32,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2
חד-נס,377,261,26,0,19,0,0,1,0,0,0,4,0,0,1,87,30,64,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,8
חדיד,421,321,8,0,29,3,0,0,0,2,0,21,0,0,0,52,19,133,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,48
חדרה,64242,36089,2784,14,803,768,24,135,63,264,66,615,6,11,25,9110,6904,9839,481,68,13,7,17,44,36,0,8,16,11,63,37,139,21,22,107,2919
חולדה,289,210,72,0,2,0,0,8,1,0,0,4,0,0,0,81,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
חולון,149023,88202,9439,22,1409,450,18,321,137,760,227,1100,4,27,65,26004,10815,24253,1498,40,7,11,15,23,99,0,21,24,20,129,55,326,25,24,344,9250
חולית,91,54,9,0,1,0,0,0,0,0,0,0,0,0,0,21,5,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
חולתה,367,270,125,1,2,0,0,4,1,1,0,4,0,0,1,77,6,9,21,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,3
חוסן,536,385,31,0,7,2,0,0,1,0,1,5,0,0,1,87,45,141,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48
חוסנייה,329,191,1,1,1,1,17,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,133,0,0,0,0,0,0,0,0,1,0,0,1
חופית,692,515,146,0,2,1,0,9,1,1,0,0,0,0,0,236,9,44,57,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1
חוקוק,326,189,85,0,0,0,0,16,2,0,1,1,0,0,0,41,9,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
חורה,4300,1254,16,1,3,2,95,0,300,0,7,8,2,1,2,13,8,21,30,1,4,1,1,645,1,0,0,1,2,1,1,2,2,2,1,16
חורפיש,3404,2325,1331,0,25,0,48,0,20,47,9,1,0,0,0,274,177,237,32,2,0,0,0,3,2,0,0,2,0,3,1,8,0,23,3,53
חורשים,250,159,22,0,1,0,1,6,1,0,0,1,0,0,0,46,12,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
חזון,279,205,5,0,31,37,0,0,0,0,1,5,0,0,0,9,10,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
חיבת ציון,376,295,55,0,27,1,0,22,2,1,1,17,0,0,1,89,7,50,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3
חיננית,431,349,1,0,52,1,4,0,0,0,0,92,0,0,0,13,107,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
חיפה,235198,136506,17279,43,3431,3060,2771,1049,5533,1522,320,2165,29,20,96,38196,21948,26693,4140,243,31,18,32,434,94,0,13,29,67,218,89,485,41,37,467,4117
חירות,774,656,225,0,5,0,0,16,4,2,4,4,0,0,0,281,14,47,43,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
חלוץ,228,156,25,0,0,0,0,11,1,1,0,1,0,0,0,71,7,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
חלמיש,693,544,1,0,69,1,0,2,0,0,0,328,0,0,0,2,7,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
חלץ,351,226,19,0,22,1,0,0,0,2,1,2,0,0,0,29,6,75,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65
חמאם,824,343,5,0,0,1,119,0,94,1,0,1,0,1,0,21,3,3,5,1,0,1,0,64,0,0,0,0,2,0,0,0,0,0,0,3
חמד,407,337,4,0,92,21,0,9,0,1,1,57,0,0,0,28,11,91,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,17
חמדיה,289,196,75,0,0,0,0,1,1,6,0,6,0,0,0,62,9,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
חמרה,127,76,1,0,1,0,0,0,1,3,0,4,0,0,0,36,11,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
חניאל,603,444,89,0,7,0,0,4,2,4,2,3,0,0,4,214,14,70,21,1,3,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1
חניתה,549,333,111,0,0,0,0,9,3,0,1,0,0,0,0,120,14,10,61,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
חנתון,195,132,33,0,0,0,0,8,3,2,0,1,2,0,0,63,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
חספין,557,445,0,0,177,2,1,0,0,0,0,187,0,0,0,5,2,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
חפץ חיים,287,240,1,0,76,19,0,2,0,0,0,79,0,0,0,6,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
חפצי-בה,381,259,131,0,3,0,0,2,1,5,0,3,0,0,1,76,2,6,26,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
חצב,709,458,60,0,22,1,0,1,0,6,0,10,1,0,0,149,38,120,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,37
חצבה,431,308,84,0,8,0,0,10,0,4,0,5,0,0,0,128,17,34,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
חצור-אשדוד,603,425,66,0,0,1,0,4,4,0,0,0,0,0,0,127,6,4,208,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
חצור הגלילית,6463,3931,181,0,161,566,14,2,3,4,2,125,0,0,0,356,644,1174,7,1,0,0,1,3,6,0,0,1,3,2,1,5,0,2,3,631
חצרים,729,533,210,0,1,0,0,10,0,1,2,0,0,0,0,207,4,17,73,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0
חרב לאת,450,353,72,0,8,1,0,7,1,1,0,7,0,0,0,149,10,67,19,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2
חרוצים,549,368,48,0,3,0,0,9,0,1,1,11,0,0,0,123,22,82,23,0,0,0,0,1,0,0,0,1,4,2,0,4,0,0,3,29
חרמש,154,88,4,0,2,0,0,0,0,0,0,7,1,0,0,26,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
חרשים,157,117,15,0,0,0,0,17,14,0,0,0,0,0,0,37,2,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
חשמונאים,1708,1347,5,0,233,20,0,7,0,1,0,424,0,0,0,10,18,474,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,144
טבריה,32058,16233,895,5,384,423,3,22,11,58,13,403,1,5,2,2364,2530,5684,57,8,2,5,1,12,6,0,3,3,3,11,9,48,3,3,23,3029
טובא-זנגריה,3261,1164,53,1,0,15,290,2,172,2,2,0,1,0,2,68,7,7,26,1,0,0,2,425,0,0,1,2,1,1,1,1,1,3,1,33
טורעאן,6779,3904,40,0,12,5,787,2,1825,4,4,1,4,0,0,35,1,95,19,0,0,1,0,951,0,0,11,0,4,1,4,1,1,0,0,35
טייבה,20688,13321,31,0,16,1,2070,1,3715,0,3,2,3,0,1,42,6,18,52,2,0,1,0,7029,15,0,0,0,3,2,6,1,1,1,3,125
טייבה (בעמק),847,621,28,1,0,1,435,0,10,0,0,1,0,0,0,5,2,1,2,0,0,1,0,123,0,0,0,0,1,0,0,0,2,0,0,1
טירה,13548,8379,55,0,1,3,2109,0,1955,1,1,6,2,1,1,169,8,15,27,0,1,0,0,3902,3,0,0,0,12,4,3,9,1,0,2,24
טירת יהודה,588,448,4,0,131,6,0,8,0,0,0,34,0,0,0,20,10,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52
טירת כרמל,15610,8844,523,0,351,33,1,22,4,39,73,169,6,3,5,1870,1481,2866,32,14,7,1,3,4,8,0,2,3,7,10,7,33,6,2,26,1081
טירת צבי,500,391,10,0,168,0,0,30,0,0,0,50,0,0,0,27,11,87,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
טל-אל,600,475,64,0,9,0,0,9,0,3,1,18,0,0,0,177,73,90,15,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,9
טל שחר,576,445,136,0,1,0,0,11,3,1,0,2,0,0,0,176,20,53,26,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,6
טללים,142,93,9,0,15,0,0,5,0,1,0,4,0,0,0,28,7,12,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
טלמון,887,824,0,0,150,2,0,2,0,0,0,522,0,0,0,0,5,118,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
טמרה,16498,9607,35,0,0,13,2666,0,3386,0,4,11,4,2,2,110,8,78,25,0,1,4,2,3091,2,0,2,2,7,4,24,19,13,0,0,25
טמרה (יזרעאל),741,508,1,0,0,0,166,0,111,0,0,0,0,0,0,4,2,2,0,0,0,0,0,171,0,0,0,0,0,0,0,1,0,0,0,46
טנא,375,271,14,0,12,0,0,1,0,0,2,51,0,0,1,101,24,53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7
טפחות,207,160,12,0,56,2,0,0,0,0,0,12,0,0,0,2,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
יאנוח-ג'ת,3344,2023,488,0,0,4,54,0,46,1,22,0,0,0,0,432,295,513,16,0,1,1,0,0,0,0,23,0,7,0,0,4,0,1,0,90
יבול,336,278,27,0,18,1,0,7,0,0,0,104,0,0,0,40,15,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45
יבנאל,2025,1379,106,0,61,57,1,10,0,3,7,23,2,0,2,262,65,250,18,0,0,1,0,2,1,0,0,0,0,4,0,3,1,0,0,484
יבנה,24960,16144,1493,3,378,186,1,56,14,45,33,539,3,2,12,4006,1523,5023,264,3,9,3,7,9,22,0,4,11,3,27,10,73,6,8,50,2103
יגור,1223,871,478,0,0,0,0,26,3,4,2,3,0,0,2,221,21,27,68,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3
יגל,488,353,26,0,11,0,0,0,0,0,1,4,0,0,1,60,16,129,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,96
יד בנימין,1112,981,1,0,177,37,0,0,0,1,0,404,1,0,0,3,15,123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,213
יד חנה,205,148,6,0,0,2,0,1,6,3,3,4,0,0,0,43,16,38,20,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0
יד מרדכי,647,405,76,0,2,0,0,9,2,0,1,1,0,0,1,138,14,10,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
יד נתן,310,218,48,0,6,0,0,7,0,1,0,2,0,0,0,89,12,24,11,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3,7
"יד רמב""ם",679,487,21,0,18,3,0,0,0,0,0,19,0,0,0,86,41,197,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,90
יהוד-מונוסון,20438,14173,1913,1,217,102,1,73,19,65,41,223,6,3,8,4726,1143,4018,387,3,0,1,7,4,9,0,3,3,4,24,6,64,3,6,50,877
יהל,193,92,18,0,1,0,0,4,0,0,0,1,0,0,0,44,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
יובל,336,223,60,1,6,0,0,3,1,0,0,4,0,0,0,57,22,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
יובלים,858,664,190,0,7,0,0,35,4,0,0,4,0,0,0,278,19,51,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2
יודפת,348,267,64,0,0,0,0,41,0,0,0,0,0,0,2,109,5,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
יונתן,221,177,0,0,73,1,0,3,0,0,0,44,0,0,0,3,10,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
יושיביה,202,146,0,0,3,1,0,0,0,0,0,5,0,0,0,4,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
יזרעאל,561,339,115,0,2,0,0,9,1,0,0,2,0,0,0,149,12,7,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
יחיעם,376,258,54,0,0,0,0,1,2,1,0,0,1,0,2,83,6,1,101,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
יטבתה,596,364,162,0,2,0,0,2,5,1,1,1,0,0,1,111,7,14,49,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1
"ייט""ב",121,92,0,0,0,1,0,0,0,1,0,36,0,0,0,3,46,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
יכיני,390,267,23,0,6,1,0,1,0,1,0,8,0,0,0,23,17,130,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,48
ינוב,545,369,34,0,12,2,0,9,0,1,7,11,0,0,1,117,13,122,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,30
ינון,662,422,45,0,9,1,0,1,1,0,0,34,0,0,0,61,29,161,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,72
יסוד המעלה,989,678,142,0,17,2,0,14,2,6,0,28,0,0,1,264,32,128,24,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2
יסודות,255,236,0,0,1,200,0,0,0,0,2,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
יסעור,315,193,32,0,0,0,0,3,1,3,0,0,0,0,0,65,6,7,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
יעד,429,346,90,0,3,0,0,28,6,0,2,0,0,0,0,142,9,11,52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
יערה,392,317,66,0,3,1,0,1,0,0,0,2,0,0,0,31,12,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145
יפיע,9724,4355,163,1,0,31,775,0,2147,1,1,4,2,0,1,132,9,31,78,1,2,2,0,769,79,0,1,6,8,2,12,3,3,0,1,9
יפית,122,65,4,0,1,0,0,0,0,1,0,3,0,0,0,19,6,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6
יפעת,662,461,219,1,2,0,0,7,2,3,0,1,0,0,0,128,23,23,41,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
יפתח,521,290,94,0,2,0,0,11,3,2,3,2,0,0,1,118,12,13,24,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0
יצהר,402,289,0,0,0,3,0,0,0,0,0,252,0,0,1,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
יציץ,471,262,18,0,14,4,0,2,0,0,0,11,0,0,0,39,31,111,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,20
יקום,491,379,85,0,0,0,0,7,1,0,0,1,0,0,1,103,8,11,152,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0
יקיר,639,531,0,0,104,1,0,2,0,0,0,263,0,0,0,3,10,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
יקנעם (מושבה),911,678,140,0,15,3,0,32,2,5,2,6,0,0,0,309,20,63,62,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,5
יקנעם עילית,13517,8847,680,3,259,83,2,54,9,21,13,138,1,2,7,2357,1832,2496,112,8,1,0,2,1,7,0,2,3,2,10,6,36,0,3,24,550
יראון,381,238,90,0,0,0,0,6,9,0,0,0,0,0,2,77,10,12,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ירדנה,270,161,47,0,8,1,1,0,0,0,0,1,0,0,0,28,12,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
ירוחם,6028,3393,145,0,283,339,1,36,3,6,9,67,0,0,4,401,611,688,27,8,5,0,0,22,4,0,1,0,0,9,6,9,1,5,7,618
ירושלים,353784,217905,12355,38,8944,40928,530,4519,1470,942,227,14260,41,24,83,24803,13694,51018,7181,75,101,15,16,546,86,0,26,19,23,147,64,434,26,39,445,32624
ירחיב,521,350,23,0,10,3,0,2,0,0,0,5,0,0,0,95,27,133,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,39
ירכא,7742,5176,850,2,4,0,194,1,502,2,6,1,4,1,3,385,1058,449,14,0,1,0,0,6,0,0,2,1,191,3,8,12,0,11,7,1344
ירקונה,257,203,45,0,1,0,0,4,1,1,3,1,0,0,0,91,11,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ישע,203,149,26,0,1,1,0,1,1,0,0,2,0,0,0,62,16,32,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
ישעי,441,341,5,0,52,10,0,1,0,1,0,19,0,0,0,10,9,121,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108
ישרש,573,398,45,0,6,2,0,2,0,1,0,7,0,0,0,106,45,146,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,26
יתד,356,299,24,0,18,0,0,0,0,0,0,66,0,0,0,39,29,26,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
כאבול,5779,4639,0,0,0,0,1346,0,2037,0,1,2,3,0,0,17,4,8,2,1,0,1,0,1173,1,0,0,0,7,0,0,0,2,0,0,0
כאוכב אבו אל-היג',1901,1478,0,0,0,1,340,0,592,0,0,0,1,0,0,1,1,6,0,0,0,0,0,515,3,0,0,0,0,0,1,0,0,1,0,1
כברי,726,526,258,0,1,0,0,10,7,1,1,1,0,0,0,132,16,26,60,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,3
כוכב השחר,818,707,0,0,94,2,0,2,0,0,0,518,0,0,0,1,6,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27
כוכב יאיר,7525,5648,902,2,271,6,0,73,12,24,5,128,0,1,3,2119,338,1348,276,0,2,0,0,0,3,0,0,1,2,15,1,24,0,0,32,37
כוכב יעקב,2639,2027,1,0,47,236,0,1,0,0,0,547,0,0,0,1,25,183,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,1,2,954
כוכב מיכאל,532,371,86,0,3,1,0,7,0,4,1,2,0,0,1,179,17,43,13,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,5
כורזים,338,239,47,0,4,0,0,15,0,1,0,5,0,0,0,95,14,36,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
כחל,252,178,37,0,1,0,0,18,1,0,0,1,0,0,0,77,6,24,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0
כיסופים,229,133,75,0,0,0,0,0,0,0,0,0,0,0,0,37,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
כליל,239,177,19,0,0,0,0,53,25,0,0,1,0,0,0,27,3,4,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
כלנית,159,110,0,0,13,6,0,0,0,0,0,19,0,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
כמאנה,750,407,4,0,0,1,47,0,52,0,1,0,7,0,0,58,1,10,2,0,0,0,0,148,1,0,0,1,0,0,0,0,0,1,1,54
כמון,358,269,59,0,2,0,0,18,5,0,0,2,0,0,0,113,8,13,35,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1
כנף,179,144,14,0,11,0,0,13,0,0,0,10,0,0,0,45,16,25,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
כנרת (מושבה),395,282,65,0,3,3,0,6,1,8,1,6,0,0,1,95,5,69,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
כנרת (קבוצה),581,393,174,0,1,0,0,1,2,0,0,0,0,0,0,138,23,30,11,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,5
כסיפה,5138,1863,25,0,1,18,135,0,20,3,1,4,0,2,1,27,40,24,24,0,2,2,2,1442,1,0,0,6,2,1,5,6,2,1,2,25
כסלון,230,154,12,0,3,1,0,7,0,0,0,3,0,0,0,5,7,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
כסרא-סמיע,4026,2732,832,0,24,1,101,0,62,0,0,0,0,0,0,174,471,96,40,1,0,3,0,7,1,0,3,0,3,0,1,7,1,658,1,201
כעביה-טבאש-חג'אג',2547,1130,176,0,12,0,81,0,186,0,0,1,3,1,0,99,4,29,7,0,1,3,0,371,1,0,0,3,0,3,2,5,1,3,0,100
כפר אביב,488,379,76,1,2,0,0,4,0,1,0,1,0,0,0,165,24,83,12,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6
כפר אדומים,1467,1187,19,0,129,1,0,50,1,2,0,361,0,0,1,73,55,461,6,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,5,13
כפר אוריה,317,238,46,0,1,1,0,9,1,1,0,0,0,0,1,60,8,77,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,10
כפר אחים,450,316,59,0,11,0,0,3,0,4,0,4,0,0,0,131,14,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
כפר ביאליק,411,278,65,0,3,2,0,2,1,3,1,8,0,0,0,97,39,40,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2
"כפר ביל""ו",763,601,195,0,1,2,0,10,2,6,5,5,0,0,0,225,23,73,39,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3
כפר בלום,573,359,130,0,1,0,1,6,2,1,1,1,0,0,0,131,11,30,28,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,7,0
כפר בן נון,388,301,48,0,4,0,0,11,2,2,1,2,0,0,1,104,21,71,25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2
כפר ברא,1415,839,22,0,0,0,115,1,184,0,0,0,0,0,0,29,7,0,13,0,0,1,0,464,0,0,0,0,0,0,1,1,1,0,0,0
כפר ברוך,251,177,37,0,1,0,0,1,0,1,0,4,0,0,0,78,14,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
כפר גדעון,146,99,1,0,2,23,0,2,0,1,0,12,0,0,0,4,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32
כפר גלים,79,50,12,0,0,0,0,1,0,0,0,0,0,0,0,15,3,12,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
כפר גליקסון,271,189,66,0,1,0,0,2,1,0,1,0,0,0,0,80,4,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
כפר גלעדי,558,350,149,0,3,0,0,5,0,0,0,0,0,0,0,119,14,23,22,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,3
כפר דניאל,301,242,56,0,1,0,0,1,1,2,0,1,0,0,0,112,10,20,33,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0
כפר האורנים,1071,893,163,0,14,4,0,23,0,5,1,19,0,0,1,393,26,179,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4
כפר החורש,407,298,102,0,1,2,0,9,0,1,0,1,0,0,0,99,26,11,38,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1
